Película,Año,Director,País de nacimiento,Película extra,Oscar,vote_quantity,vote_average
Oppenheimer,2023,Christopher Nolan,Reino Unido,Interstellar,True,9068,8.087
Everything Everywhere All At Once,2022,Daniel Kwan; Daniel Scheinert,EE.UU.,Swiss Army Man,True,6434,7.8
CODA,2021,Siân Heder,EE.UU.,Tallulah,True,2182,7.932
Nomadland,2020,Chloé Zhao,China,The Rider,True,2936,7.206
Parasite,2019,Bong Joon-ho,Corea del Sur,Okja,True,64,4.9
Green Book,2018,Peter Farrelly,EE.UU.,Dumb and Dumber,True,11474,8.241
The Shape of Water,2017,Guillermo del Toro,México,Pan's Labyrinth,True,12026,7.2
Moonlight,2016,Barry Jenkins,EE.UU.,If Beale Street Could Talk,True,6969,7.4
Spotlight,2015,Tom McCarthy,EE.UU.,The Station Agent,True,8153,7.818
Birdman,2014,Alejandro González Iñárritu,México,The Revenant,True,5,3.2
12 Years a Slave,2013,Steve McQueen,Reino Unido,Hunger,False,11158,7.9
Argo,2012,Ben Affleck,EE.UU.,Gone Baby Gone,True,8189,7.278
The Artist,2011,Michel Hazanavicius,Francia,OSS 117: Cairo,False,3214,7.5
The King’s Speech,2010,Tom Hooper,Reino Unido,Les Misérables,True,8613,7.742
The Hurt Locker,2009,Kathryn Bigelow,EE.UU.,Zero Dark Thirty,True,5542,7.257
Slumdog Millionaire,2008,Danny Boyle,Reino Unido,Trainspotting,True,10465,7.732
No Country for Old Men,2007,Joel Coen; Ethan Coen,EE.UU.,Fargo,True,11875,7.945
The Departed,2006,Martin Scorsese,EE.UU.,Goodfellas,True,14758,8.165
Crash,2005,Paul Haggis,Canadá,In the Valley of Elah,True,3420,7.2
Million Dollar Baby,2004,Clint Eastwood,EE.UU.,Gran Torino,True,9444,7.956
The Lord of the Rings: The Return of the King,2003,Peter Jackson,Nueva Zelanda,King Kong,True,24033,8.483
Chicago,2002,Rob Marshall,EE.UU.,Memoirs of a Geisha,True,2575,7.119
A Beautiful Mind,2001,Ron Howard,EE.UU.,Apollo 13,True,10092,7.857
Gladiator,2000,Ridley Scott,Reino Unido,Blade Runner,True,18329,8.217
American Beauty,1999,Sam Mendes,Reino Unido,1917,True,11943,8.018
Shakespeare in Love,1998,John Madden,Reino Unido,The Best Exotic Marigold Hotel,True,2947,6.87
Titanic,1997,James Cameron,Canadá,Avatar,True,25188,7.9
The English Patient,1996,Anthony Minghella,Reino Unido,The Talented Mr. Ripley,True,2159,7.175
Braveheart,1995,Mel Gibson,EE.UU.,The Passion of the Christ,True,10038,7.941
Forrest Gump,1994,Robert Zemeckis,EE.UU.,Back to the Future,True,27271,8.5
Schindler’s List,1993,Steven Spielberg,EE.UU.,Jurassic Park,True,15752,8.564
Unforgiven,1992,Clint Eastwood,EE.UU.,Million Dollar Baby,True,4350,7.913
The Silence of the Lambs,1991,Jonathan Demme,EE.UU.,Philadelphia,True,16149,8.348
Dances with Wolves,1990,Kevin Costner,EE.UU.,The Postman,True,4175,7.848
Driving Miss Daisy,1989,Bruce Beresford,Australia,Tender Mercies,True,1558,7.237
Rain Man,1988,Barry Levinson,EE.UU.,Good Morning,True,6272,7.763
The Last Emperor,1987,Bernardo Bertolucci,Italia,The Dreamers,True,1652,7.6
Platoon,1986,Oliver Stone,EE.UU.,Born on the Fourth of July,True,4481,7.742
Out of Africa,1985,Sydney Pollack,EE.UU.,Tootsie,True,1349,7.178
Amadeus,1984,Miloš Forman,República Checa,One Flew Over the Cuckoo's Nest,True,4188,8.032
Terms of Endearment,1983,James L. Brooks,EE.UU.,As Good as It Gets,True,739,7.1
Gandhi,1982,Richard Attenborough,Reino Unido,Shadowlands,True,2264,7.6
Chariots of Fire,1981,Hugh Hudson,Reino Unido,Greystoke: The Legend of Tarzan,True,899,6.789
Ordinary People,1980,Robert Redford,EE.UU.,The Horse Whisperer,True,616,7.457
Kramer vs. Kramer,1979,Robert Benton,EE.UU.,Places in the Heart,True,2179,7.6
The Deer Hunter,1978,Michael Cimino,EE.UU.,Heaven's Gate,True,3761,8.002
Annie Hall,1977,Woody Allen,EE.UU.,Manhattan,True,3845,7.7
Interstellar,2014,Christopher Nolan,Reino Unido,,False,35352,8.44
Inception,2010,Christopher Nolan,Reino Unido,,False,36378,8.368
Dunkirk,2017,Christopher Nolan,Reino Unido,,False,16344,7.5
Memento,2000,Christopher Nolan,Reino Unido,,False,14731,8.181
The Dark Knight,2008,Christopher Nolan,Reino Unido,,False,32696,8.5
The Prestige,2006,Christopher Nolan,Reino Unido,,False,15896,8.204
Tenet,2020,Christopher Nolan,Reino Unido,,False,9758,7.2
Insomnia,2002,Christopher Nolan,Reino Unido,,False,4696,6.942
Batman Begins,2005,Christopher Nolan,Reino Unido,,False,20796,7.708
The Dark Knight Rises,2012,Christopher Nolan,Reino Unido,,False,22544,7.78
Swiss Army Man,2016,Daniel Kwan & Daniel Scheinert,EE.UU.,,False,3466,6.924
